,fighter_name,id,type,matches
99132,Connor Barry,128663,f,"[(128663, 65517, 'win', 'Sep / 18 / 2015', '/events/CZ-55-Pride-and-Glory-47343')]"
99138,Tim Caron,128669,f,"[(128669, 81015, 'win', 'Aug / 05 / 2016', '/events/CZ-59-Rock-On-53877'), (128669, 98983, 'win', 'Apr / 22 / 2016', '/events/Bellator-153-Koreshkov-vs-Henderson-50409'), (128669, 66093, 'win', 'Jun / 19 / 2015', '/events/Reality-Fighting-Mohegan-Sun-46613'), (128669, 77544, 'win', 'Apr / 24 / 2015', '/events/CZ-53-No-Way-Out-44281'), (128669, 108721, 'win', 'Nov / 21 / 2014', '/events/CZ-51-Thanksgiving-Throwdown-41293')]"
99238,Yasuhiro Wakabayashi,128769,f,"[(128769, 66287, 'win', 'Aug / 07 / 2016', '/events/Zst-Zst-53-Swat-155-53077'), (128769, 95987, 'loss', 'Apr / 17 / 2016', '/events/Zst-Zst-50-51587')]"
99312,Kaito Sakamaki,128843,f,"[(128843, 133311, 'win', 'Aug / 07 / 2016', '/events/Zst-Zst-52-Swat-154-53075'), (128843, 82844, 'loss', 'Jun / 12 / 2016', '/events/Real-5-Real-Fight-Championship-5-52337'), (128843, 105953, 'loss', 'Apr / 17 / 2016', '/events/Zst-Zst-50-51587'), (128843, 76907, 'win', 'Nov / 22 / 2015', '/events/Zst-49-13th-Anniversary-44407'), (128843, 71317, 'win', 'Aug / 23 / 2015', '/events/Zst-Zst-47-44395'), (128843, 62675, 'win', 'May / 24 / 2015', '/events/Zst-Zst-46-44383'), (128843, 61487, 'win', 'Apr / 12 / 2015', '/events/Zst-Zst-45-44377'), (128843, 189229, 'win', 'Jan / 25 / 2015', '/events/Brave-Brave-Fight-8-43815'), (128843, 5467, 'win', 'Nov / 23 / 2014', '/events/Zst-Zst-43-38691')]"
99340,Haruyoshi Shibuya,128871,f,"[(128871, 128873, 'win', 'Feb / 17 / 2013', '/events/Grachan-Grachan-8-27883')]"
99402,Satoru Date,128933,f,"[(128933, 71923, 'loss', 'Aug / 07 / 2016', '/events/Rebels-Kunlun-Fight-Rebels-45-Kunlun-Fight-49-53205'), (128933, 115225, 'draw', 'Apr / 23 / 2016', '/events/Deep-Cage-Impact-2016-51345'), (128933, 88461, 'loss', 'Mar / 27 / 2016', '/events/Deep-Nagoya-Impact-2016-51537'), (128933, 157737, 'win', 'Apr / 12 / 2015', '/events/Zst-Zst-Challenge-139-44375'), (128933, 148419, 'draw', 'Mar / 15 / 2015', '/events/Zst-Zst-Challenge-138-44373'), (128933, 61487, 'loss', 'Nov / 23 / 2014', '/events/Zst-Zst-43-38691'), (128933, 36432, 'loss', 'Jun / 29 / 2014', '/events/Zst-Zst-in-Yokosuka-Vol1-34721'), (128933, 148419, 'draw', 'May / 25 / 2014', '/events/Zst-Zst-41-34719'), (128933, 82966, 'loss', 'May / 11 / 2014', '/events/Zst-Swat-54-34717'), (128933, 76110, 'draw', 'Feb / 09 / 2014', '/events/Zst-Zst-39-34443'), (128933, 91393, 'draw', 'Dec / 22 / 2013', '/events/Zst-Swat-53-34445'), (128933, 49360, 'loss', 'Sep / 23 / 2013', '/events/Zst-Zst-37-27617')]"
99586,Anderson Ferreira de Souza Santos,129117,f,"[(129117, 128273, 'win', 'Jul / 30 / 2016', '/events/JF-Jungle-Fight-89-53591'), (129117, 192329, 'win', 'Aug / 22 / 2015', '/events/JF-Jungle-Fight-80-46859'), (129117, 142065, 'win', 'Oct / 04 / 2014', '/events/BRFC-Brazilian-Fighting-Championship-4-40323'), (129117, 166625, 'win', 'May / 31 / 2014', '/events/XFMMA-XFight-MMA-8-37667'), (129117, 68593, 'win', 'Jul / 27 / 2013', '/events/XFMMA-XFight-MMA-6-30627'), (129117, 122241, 'win', 'Jul / 06 / 2013', '/events/TKOMMA-The-King-of-MMA-6-32227'), (129117, 111973, 'win', 'Jun / 08 / 2013', '/events/TF-Target-Fight-30879'), (129117, 129119, 'win', 'May / 11 / 2013', '/events/DF-Detonic-Fight-2-28775'), (129117, 136659, 'win', 'Apr / 20 / 2013', '/events/Superacao-Fight-MMA-Challenge-2-30633'), (129117, 138167, 'win', 'May / 19 / 2012', '/events/CTF-CT-Fight-32901'), (129117, 106535, 'loss', 'Mar / 31 / 2012', '/events/CF-Combat-Fight-6-29985')]"
99820,Enrique Barzola,129351,f,"[(129351, 172941, 'win', 'Nov / 21 / 2015', '/events/UFC-Fight-Night-78-Magny-vs-Gastelum-42241'), (129351, 33502, 'win', 'Sep / 06 / 2014', '/events/Peru-FC-Peru-Fighting-Championship-18-39417'), (129351, 63494, 'loss', 'Jul / 16 / 2014', '/events/FFC-9-Fusion-Fighting-Championship-9-38613'), (129351, 102403, 'win', 'May / 24 / 2014', '/events/Inka-FC-26-Jon-Bones-Jones-Edition-37819'), (129351, 110397, 'win', 'Apr / 16 / 2014', '/events/Inka-FC-25-No-to-Racism-36637'), (129351, 25491, 'loss', 'Feb / 04 / 2014', '/events/300-Sparta-5-Featherweight-Grand-Prix-35635'), (129351, 158633, 'win', 'Feb / 04 / 2014', '/events/300-Sparta-5-Featherweight-Grand-Prix-35635'), (129351, 2519, 'win', 'Nov / 30 / 2013', '/events/SFE-2-Show-Fighting-Enterprise-2-35023'), (129351, 38497, 'win', 'Oct / 23 / 2013', '/events/Inka-FC-24-Inka-Fighting-Championship-24-33159'), (129351, 35992, 'win', 'Oct / 10 / 2013', '/events/300-Sparta-MMA-4-32835'), (129351, 171033, 'draw', 'Jul / 17 / 2013', '/events/300-Sparta-MMA-2-41159'), (129351, 121363, 'win', 'May / 19 / 2013', '/events/Inka-FC-21-Private-30345'), (129351, 90003, 'win', 'Apr / 24 / 2013', '/events/300-Sparta-MMA-30085'), (129351, 129353, 'win', 'Dec / 12 / 2012', '/events/Inka-FC-19-Inka-Fighting-Championship-19-28833')]"
99908,Kei Tamura,129439,f,"[(129439, 85904, 'win', 'Oct / 14 / 2013', '/events/Deep-Tokyo-Impact-Wave-6-32671'), (129439, 129441, 'win', 'Dec / 16 / 2012', '/events/Gladiator-Gladiator-49-28865')]"
100104,Ryosuke Kano,129635,f,"[(129635, 124319, 'win', 'Jul / 31 / 2016', '/events/Pancrase-Osaka-53093'), (129635, 18888, 'win', 'Jun / 19 / 2016', '/events/Gladiator-Gladiator-001-in-Wakayama-51911'), (129635, 171131, 'loss', 'Mar / 06 / 2016', '/events/Heat-Heat-37-49999'), (129635, 34230, 'win', 'Sep / 12 / 2015', '/events/Grandslam-MMA-3-Way-of-the-Cage-47247'), (129635, 192509, 'win', 'Jul / 18 / 2015', '/events/WCF-Wardog-Cage-Fight-5-45455'), (129635, 97145, 'loss', 'Oct / 05 / 2013', '/events/Shooto-Shooting-Disco-22-35103')]"
